LD_stringency,Pop,Region,Longitude,Latitude,AcLi,acLi,Acli,acli,total_n
pca_100k_0.8,BAL,EAST SOUTH CENTRAL,-86.7890223,33.49660265,5,0,1,4,10
pca_100k_0.8,VBC,PACIFIC,-123.128022,49.238171,3,2,3,2,10
pca_100k_0.8,DCO,MOUNTAIN,-104.903056,39.759305499999996,0,4,4,2,10
pca_100k_0.8,SCT,NEW ENGLAND,-72.820475,41.822875,0,1,0,7,8
pca_100k_0.8,HDE,SOUTH ATLANTIC,-75.283731,38.725248,1,3,3,3,10
pca_100k_0.8,RDE,SOUTH ATLANTIC,-75.06528,38.61383,0,2,4,4,10
pca_100k_0.8,GFL,SOUTH ATLANTIC,-82.355531,29.643707,8,2,1,0,11
pca_100k_0.8,DGA,SOUTH ATLANTIC,-83.215489,34.124712,7,0,2,1,10
pca_100k_0.8,TGA,SOUTH ATLANTIC,-83.517106,31.458046,10,0,0,0,10
pca_100k_0.8,AIA,WEST NORTH CENTRAL,-93.621111,42.046667,1,1,4,4,10
pca_100k_0.8,PIA,WEST NORTH CENTRAL,-95.853611,41.416389,0,4,2,4,10
pca_100k_0.8,BID,MOUNTAIN,-116.222222,43.596111,0,3,1,6,10
pca_100k_0.8,BIL,EAST NORTH CENTRAL,-88.953056,40.517778,1,1,2,5,9
pca_100k_0.8,CIL,EAST NORTH CENTRAL,-87.633611,41.963333,5,1,1,2,9
pca_100k_0.8,WKY,EAST NORTH CENTRAL,-89.168889,37.002778,4,0,2,1,7
pca_100k_0.8,WKY,EAST SOUTH CENTRAL,-89.089167,36.965278,0,3,0,0,3
pca_100k_0.8,BKS,WEST NORTH CENTRAL,-94.880556,39.088611,2,0,5,3,10
pca_100k_0.8,MKS,WEST NORTH CENTRAL,-96.55872,39.197791,1,1,7,1,10
pca_100k_0.8,LKY,EAST SOUTH CENTRAL,-85.618472,38.282639,1,2,5,2,10
pca_100k_0.8,MLA,WEST SOUTH CENTRAL,-92.1116665,32.52375,10,0,0,0,10
pca_100k_0.8,NLA,WEST SOUTH CENTRAL,-90.075278,29.932639000000002,9,0,0,1,10
pca_100k_0.8,BMD,SOUTH ATLANTIC,-76.58768,39.3313,3,0,2,5,10
pca_100k_0.8,DMN,WEST NORTH CENTRAL,-92.085,46.803899,4,2,1,4,11
pca_100k_0.8,MMN,WEST NORTH CENTRAL,-92.8902925,45.288251,0,0,2,4,6
pca_100k_0.8,CMO,WEST NORTH CENTRAL,-92.25064,38.962766,1,0,7,2,10
pca_100k_0.8,STL,WEST NORTH CENTRAL,-90.302778,38.649722,3,1,4,3,11
pca_100k_0.8,LMT,MOUNTAIN,-110.5625,45.650278,3,0,3,4,10
pca_100k_0.8,ANC,SOUTH ATLANTIC,-82.570833,35.5775,1,0,3,3,7
pca_100k_0.8,WNC,SOUTH ATLANTIC,-80.128158,36.014791,3,1,4,2,10
pca_100k_0.8,LNE,WEST NORTH CENTRAL,-96.649343,40.836309,1,3,2,1,7
pca_100k_0.8,NYC,MIDDLE ATLANTIC,-73.965913,40.782182,3,1,3,3,10
pca_100k_0.8,AOK,WEST SOUTH CENTRAL,-97.171325,34.36086,7,0,2,0,9
pca_100k_0.8,PPA,MIDDLE ATLANTIC,-79.95409,40.446664,4,0,5,1,10
pca_100k_0.8,CSC,SOUTH ATLANTIC,-80.1084725,32.795278,9,0,1,0,10
pca_100k_0.8,BSD,WEST NORTH CENTRAL,-101.203611,43.853611,0,0,7,2,9
pca_100k_0.8,RCD,WEST NORTH CENTRAL,-103.271944,44.071389,2,0,6,2,10
pca_100k_0.8,SCD,WEST NORTH CENTRAL,-96.526944,42.540278,0,4,2,4,10
pca_100k_0.8,SFD,WEST NORTH CENTRAL,-96.7325,43.508056,1,0,3,6,10
pca_100k_0.8,NTN,EAST SOUTH CENTRAL,-86.7854135,36.1653595,1,0,5,4,10
pca_100k_0.8,ATX,WEST SOUTH CENTRAL,-97.734002,30.285951,10,0,0,0,10
pca_100k_0.8,CVA,SOUTH ATLANTIC,-78.5170995,38.0102242,1,3,1,5,10
pca_100k_0.8,BWA,PACIFIC,-122.486,48.734,5,2,3,0,10
pca_100k_0.8,DWI,EAST NORTH CENTRAL,-89.733112,43.43078,2,2,1,3,8
pca_100k_0.8,MWI,EAST NORTH CENTRAL,-89.463881,43.0617245,2,0,7,1,10
