Pop,Longitude_nudge,Latitude_nudge,AcLi,acLi,Acli,acli,total_n,X,Y
AIA,0,2.5,1,1,4,4,10,-10421854.404020542,5357237.159357173
ANC,0,2.5,1,0,3,3,7,-9191743.083936429,4415089.709291818
AOK,0,-3,7,0,2,0,9,-10817062.418707693,3876849.9850789164
ATX,0,-3.5,10,0,0,0,10,-10879699.335828781,3316714.538023603
BAL,-5,-2.5,5,0,1,4,10,-9939608.495865248,3795724.764914676
BID,0,2.5,0,3,1,6,10,-12937798.571902797,5597327.260365041
BIL,-4,0,1,1,2,5,9,-10124847.880012095,4941472.127769209
BKS,-3,-3,2,0,5,3,10,-10729034.416292587,4521472.24687233
BMD,5,-5,3,0,2,5,10,-8247402.811654999,4415618.196847235
BSD,0,2.5,0,0,7,2,9,-11265934.44296054,5637847.692729998
BWA,-1,-3,5,2,3,0,10,-13690738.894701546,5980352.819482914
CIL,3,1,5,1,1,2,9,-9588349.716705907,5230639.156026306
CMO,-3,-3,1,0,7,2,10,-10436273.506343506,4503808.200684366
CSC,7,-1,9,0,1,0,10,-8528016.149150502,3802133.168996424
CVA,2.5,-2.5,1,3,1,5,10,-8601334.171413202,4405737.623325123
DCO,0,-2.5,0,4,4,2,10,-11677754.776578262,4651625.552106223
DGA,2.5,-2.5,7,0,2,1,10,-9124356.498101667,3878685.8601407185
DMN,2,3,4,2,1,4,11,-10139535.818905322,6157562.538018372
DWI,0,2.5,2,2,1,3,8,-9989044.335135786,5571406.049849806
GFL,3,-2.5,8,2,1,0,11,-9000796.538739745,3298702.5272492585
HDE,12,-1,1,3,3,3,10,-7712629.655178143,4611294.850646411
LKY,2.5,2.5,1,2,5,2,10,-9391855.342046559,4798257.275893628
LMT,-2,2.5,3,0,3,4,10,-12419080.691624584,5925812.066927855
LNE,-5,-2,1,3,2,1,7,-11037254.375247624,4842183.583742642
MKS,-6,-2.5,1,1,7,1,10,-11082826.0144301,4572053.055264922
MLA,-2,-4,10,0,0,0,10,-10365143.301693108,3571052.248087789
MMN,-2.5,0.3,0,0,2,4,6,-10479649.424229832,5690781.032830759
MWI,3,1.5,2,0,7,1,10,-9792094.441120112,5436352.194738923
NLA,0,-3.5,9,0,0,1,10,-10027134.080022557,3272019.9641144383
NTN,2.5,-2.5,1,0,5,4,10,-9521758.675612098,4152384.778833968
NYC,3.5,-2,3,1,3,3,10,-8039038.662331345,4834339.863693978
PIA,-10,-0.5,0,4,2,4,10,-11226972.621182894,5036915.068032199
PPA,2.5,2.5,4,0,5,1,10,-8761299.222147973,5115648.92890107
RCD,-6,-2.5,2,0,6,2,10,-11830138.691691285,5284824.826341232
RDE,8,-6.5,0,2,4,4,10,-7910950.782681409,4213434.769127495
SCD,-6,2.5,0,4,2,4,10,-11079288.726290654,5433044.373920731
SCT,7,0,0,1,0,7,8,-7716719.978547852,5134483.794416817
SFD,0,5,1,0,3,6,10,-10768212.643160336,5781640.293899603
STL,-2,-3.5,3,1,4,3,11,-10163778.754971301,4425138.529158369
TGA,4.5,-1.5,10,0,0,0,10,-9046612.858162988,3594891.121037976
VBC,-6,-2,3,2,3,2,10,-14040507.183802808,6146569.863701227
WKY,-1,-4,4,3,2,1,10,-9981895.063478569,4164258.669576463
WNC,3,-3,3,1,4,2,10,-8752846.51057306,4098137.1236440022
